face_card,blind_card,total,удфча_нуль,удфча_один,добыча,еда
10,5,24,4,7,11,1,bread
3,10,20,6,10,16,-1,gone
6,10,23,7,4,11,1,bread
5,11,26,6,3,14,1,bread
3,8,21,10,10,20,1,bread
4,8,19,4,11,15,-1,gone
5,11,22,10,4,14,1,bread
11,10,28,10,8,18,1,bread
10,10,20,10,5,15,-1,gone
11,10,31,10,6,16,1,bread
9,10,19,10,10,20,1,bread
10,5,25,3,4,11,1,bread
10,8,18,10,10,20,1,bread
2,10,20,2,9,11,-1,gone
11,7,18,10,7,17,-1,gone
10,7,17,10,6,16,-1,gone
5,9,20,7,2,19,-1,gone
6,10,22,10,2,12,1,bread
10,10,20,11,5,16,-1,gone
2,6,18,9,6,15,-1,gone
10,4,23,8,10,18,1,bread
10,3,20,2,11,13,-1,gone
5,8,23,2,2,13,1,bread
9,10,19,11,11,22,1,bread
11,10,24,8,10,18,1,bread
10,4,24,5,2,14,1,bread
9,6,25,10,10,20,1,bread
10,9,19,5,2,17,-1,gone
7,10,17,10,10,20,1,bread
8,9,17,10,4,14,-1,gone
10,10,20,7,8,15,-1,gone
11,10,29,4,10,14,1,bread
10,11,25,5,11,16,1,bread
10,4,20,10,7,17,-1,gone
10,10,20,4,3,17,-1,gone
3,8,21,4,10,14,-1,gone
5,10,25,10,10,20,1,bread
3,9,24,10,5,15,1,bread
10,7,17,10,7,17,0,fight
3,4,17,2,5,17,0,fight
9,10,19,10,5,15,-1,gone
10,9,19,6,4,10,-1,gone
6,3,19,10,11,21,1,bread
7,10,17,10,10,20,1,bread
3,11,24,7,10,17,1,bread
10,10,20,9,9,18,-1,gone
10,6,26,8,8,16,1,bread
6,10,26,11,5,16,1,bread
5,3,23,10,5,15,1,bread
10,10,20,10,10,20,0,fight
2,9,20,9,9,18,-1,gone
10,10,20,6,3,19,-1,gone
2,9,21,11,10,21,0,fight
3,4,17,9,10,19,1,bread
10,5,18,2,2,9,-1,gone
8,6,22,4,10,14,1,bread
3,10,25,2,9,11,1,bread
11,6,17,2,7,18,1,bread
10,11,28,8,9,17,1,bread
4,8,23,4,10,14,1,bread
8,11,19,4,10,14,-1,gone
7,5,19,10,9,19,0,fight
5,10,18,10,4,14,-1,gone
9,10,19,7,11,18,-1,gone
7,10,17,10,3,13,-1,gone
10,10,20,10,3,13,-1,gone
10,11,29,4,9,13,1,bread
8,8,23,5,10,15,1,bread
10,6,27,7,3,10,1,bread
8,10,18,3,7,10,-1,gone
7,5,18,11,8,19,1,bread
9,10,19,2,10,12,-1,gone
10,6,23,5,5,10,1,bread
10,11,30,11,10,21,1,bread
7,7,18,10,10,20,1,bread
2,8,20,4,9,13,-1,gone
11,9,20,3,11,14,-1,gone
4,2,17,11,4,15,-1,gone
4,2,20,3,6,19,-1,gone
6,8,24,10,6,16,1,bread
3,10,20,10,11,21,1,bread
8,10,18,5,10,15,-1,gone
2,4,26,11,10,21,1,bread
6,10,26,7,4,11,1,bread
2,4,24,7,7,14,1,bread
9,4,23,9,6,15,1,bread
10,8,18,3,10,13,-1,gone
10,5,20,10,3,13,-1,gone
2,9,17,2,10,12,-1,gone
6,8,24,11,10,21,1,bread
9,10,19,10,10,20,1,bread
10,3,23,6,11,17,1,bread
2,6,25,4,8,12,1,bread
6,2,19,10,10,20,1,bread
9,10,19,7,4,11,-1,gone
2,4,22,10,10,20,1,bread
8,10,18,4,2,16,-1,gone
10,6,23,8,8,16,1,bread
3,8,21,10,9,19,1,bread
2,11,23,8,8,16,1,bread
10,10,20,10,11,21,1,bread
2,11,23,2,8,10,1,bread
10,2,21,4,6,10,1,bread
9,8,17,10,10,20,1,bread
2,2,16,4,10,14,1,bread
7,6,18,10,10,20,1,bread
10,5,22,9,11,20,1,bread
3,6,19,10,8,18,-1,gone
4,8,17,3,7,10,-1,gone
4,10,19,3,3,16,-1,gone
9,4,23,8,2,10,1,bread
10,10,20,10,9,19,-1,gone
10,3,23,5,2,17,1,bread
4,10,18,10,10,20,1,bread
10,3,22,10,6,16,1,bread
6,10,27,8,10,18,1,bread
11,10,31,11,4,15,1,bread
5,8,23,11,10,21,1,bread
7,2,18,10,2,12,-1,gone
8,6,23,2,7,19,1,bread
2,5,19,6,8,14,-1,gone
10,10,20,9,10,19,-1,gone
5,3,18,8,6,14,-1,gone
10,10,20,4,3,13,-1,gone
10,10,20,5,10,15,-1,gone
10,4,26,7,2,19,1,bread
8,10,18,11,11,22,1,bread
4,4,20,7,2,15,-1,gone
8,10,18,2,10,12,-1,gone
5,4,24,8,10,18,1,bread
7,8,21,7,3,10,1,bread
9,7,26,6,9,15,1,bread
9,10,19,8,10,18,-1,gone
5,5,22,7,2,15,1,bread
8,3,23,7,7,14,1,bread
10,5,25,7,2,15,1,bread
3,4,21,9,10,19,1,bread
10,9,19,9,3,12,-1,gone
2,9,21,3,6,11,-1,gone
10,10,20,5,4,15,-1,gone
10,2,22,7,10,17,1,bread
2,5,19,3,3,17,-1,gone
11,10,32,10,10,20,1,bread
5,3,18,11,4,15,-1,gone
10,7,17,10,10,20,1,bread
9,10,19,5,3,11,-1,gone
10,2,20,5,10,15,-1,gone
10,10,20,10,10,20,0,fight
5,10,17,4,3,12,-1,gone
11,5,19,8,4,12,-1,gone
10,10,20,5,4,11,-1,gone
11,4,25,10,10,20,1,bread
3,5,16,5,7,12,1,bread
6,3,24,7,11,18,1,bread
