face_card,blind_card,total,удфча_нуль,удфча_один,добыча,еда
10,6,26,10,10,20,1
11,3,17,10,2,12,-1
5,7,17,2,5,17,0
6,4,21,5,2,17,0
2,10,17,4,10,14,-1
10,10,20,11,5,16,-1
7,4,18,4,10,14,-1
7,7,18,11,4,15,-1
11,10,32,5,11,16,1
9,6,25,7,9,16,1
8,6,18,10,10,20,1
11,10,31,9,10,19,1
9,10,19,4,6,10,-1
3,5,18,2,4,16,-1
4,4,19,10,4,14,-1
10,10,20,7,10,17,-1
5,8,19,11,8,19,0
10,7,17,7,3,10,-1
10,10,20,10,10,20,0
6,8,18,9,3,12,-1
5,3,18,7,5,12,-1
5,11,22,10,11,21,1
6,11,17,5,9,14,-1
5,10,25,10,4,14,1
8,6,24,8,10,18,1
3,2,14,7,10,17,1
4,10,19,10,8,18,-1
2,10,20,10,11,21,1
5,11,27,9,10,19,1
4,11,18,8,7,15,-1
3,3,26,5,3,15,1
10,7,17,11,5,16,-1
10,10,20,6,7,13,-1
8,10,18,10,3,13,-1
6,9,26,6,4,10,1
8,4,22,4,8,12,1
8,10,18,9,8,17,-1
10,8,18,8,10,18,0
10,11,29,10,11,21,1
2,5,17,10,4,14,-1
11,6,17,4,2,11,-1
2,3,25,5,7,12,1
8,10,18,3,10,13,-1
5,10,25,10,9,19,1
10,8,18,10,7,17,-1
10,10,20,7,10,17,-1
6,10,26,5,6,11,1
10,4,22,10,6,16,1
4,10,24,10,3,13,1
10,7,17,8,10,18,1
11,5,26,6,9,15,1
11,5,18,10,4,14,-1
10,10,20,6,10,16,-1
2,9,21,5,10,15,-1
4,4,21,11,5,16,-1
10,10,20,10,10,20,0
10,2,20,2,10,12,-1
8,11,19,6,8,14,-1
11,10,31,4,11,15,1
6,9,19,10,7,17,-1
5,4,23,10,10,20,1
10,9,19,10,5,15,-1
4,11,21,7,10,17,-1
9,10,19,10,5,15,-1
4,7,21,8,2,10,-1
7,6,21,10,5,15,-1
10,8,18,9,6,15,-1
7,9,27,10,10,20,1
11,10,30,4,3,12,1
10,7,17,10,4,14,-1
11,10,31,6,9,15,1
5,4,18,7,3,10,-1
11,5,20,9,3,12,-1
3,9,19,8,7,15,-1
5,10,17,4,10,14,-1
9,10,19,9,10,19,0
5,3,18,11,10,21,1
10,4,23,8,3,11,1
9,11,20,10,4,14,-1
2,6,17,5,8,13,-1
8,10,18,7,10,17,-1
11,2,23,2,11,13,1
11,4,24,8,3,11,1
4,8,22,5,10,15,1
6,10,18,2,7,13,-1
7,5,22,8,2,10,1
9,7,19,10,3,13,-1
7,6,19,2,8,10,-1
8,9,17,2,7,19,1
10,6,24,2,9,11,1
4,2,24,11,5,16,1
2,10,22,4,8,12,1
7,8,25,7,9,16,1
10,8,18,6,2,11,-1
11,3,20,10,5,15,-1
10,10,20,11,10,21,1
10,6,26,10,10,20,1
10,10,20,11,9,20,0
9,9,18,7,11,18,0
5,6,22,10,4,14,1
4,3,17,10,5,15,-1
7,4,22,7,6,13,1
4,2,13,5,10,15,1
11,10,25,4,10,14,1
6,9,24,7,11,18,1
10,10,20,9,11,20,0
5,4,17,4,4,18,1
3,2,25,3,3,16,1
10,4,18,5,11,16,-1
10,10,20,5,5,10,-1
4,9,23,11,10,21,1
2,5,18,8,8,16,-1
4,8,22,11,9,20,1
5,10,21,11,10,21,0
9,10,19,6,4,10,-1
10,10,20,5,8,13,-1
10,10,20,11,10,21,1
11,5,27,5,2,14,1
10,10,20,2,3,14,-1
11,4,25,6,4,10,1
7,4,18,7,3,10,-1
10,4,21,10,3,13,-1
9,10,19,10,10,20,1
5,6,21,11,10,21,0
5,3,25,10,6,16,1
8,8,26,6,4,10,1
10,3,18,8,11,19,1
2,10,23,8,4,12,1
10,9,19,10,10,20,1
10,10,20,5,10,15,-1
10,8,18,11,6,17,-1
10,9,19,4,10,14,-1
7,11,18,11,10,21,1
8,4,18,11,5,16,-1
4,4,17,11,10,21,1
7,3,17,6,11,17,0
2,9,21,11,3,14,0
10,9,19,10,10,20,1
10,3,23,4,4,16,1
4,9,23,8,8,16,1
7,6,25,11,10,21,1
8,10,18,4,10,14,-1
4,10,22,10,8,18,1
9,4,24,7,8,15,1
9,10,19,7,6,13,-1
11,8,19,9,10,19,0
10,4,24,10,10,20,1
2,4,22,3,9,12,1
8,5,24,10,10,20,1
8,10,18,10,6,16,-1
7,3,17,10,4,14,-1
6,11,17,4,2,8,-1
5,6,24,11,8,19,1
10,5,26,4,10,14,1
10,7,17,7,10,17,0
2,10,22,5,4,19,1
10,2,17,10,10,20,1
7,10,17,6,6,12,-1
10,10,20,7,10,17,-1
2,5,20,4,10,14,-1
10,5,20,10,8,18,-1
10,7,17,5,10,15,-1
11,3,24,4,9,13,1
