face_card,blind_card,total,удфча_нуль,удфча_один,добыча,еда
9,9,18,11,7,18,0,fight
3,10,20,10,10,20,0,fight
11,4,23,6,8,14,1,bread
3,5,18,6,2,18,0,fight
9,4,23,8,10,18,1,bread
5,9,19,5,10,15,-1,gone
11,10,31,8,9,17,1,bread
10,3,21,7,10,17,1,bread
11,4,21,2,10,12,1,bread
10,7,17,10,10,20,1,bread
10,4,24,11,9,20,1,bread
10,3,18,10,10,20,1,bread
10,9,19,6,10,16,-1,gone
3,4,17,6,7,13,-1,gone
9,10,19,3,6,19,0,fight
5,4,26,10,10,20,1,bread
3,10,23,10,7,17,1,bread
8,7,23,10,7,17,1,bread
6,4,20,10,10,20,0,fight
9,8,17,4,10,14,-1,gone
5,10,17,8,3,11,-1,gone
7,3,26,10,8,18,1,bread
11,4,17,5,4,17,0,fight
11,10,30,10,6,16,1,bread
3,10,23,10,8,18,1,bread
10,10,20,9,7,16,-1,gone
8,10,18,2,10,12,-1,gone
4,5,20,11,5,16,-1,gone
4,7,24,10,6,16,1,bread
10,10,20,9,3,12,-1,gone
2,10,24,11,9,20,1,bread
11,2,19,3,7,10,-1,gone
10,6,24,2,2,17,1,bread
3,10,23,3,6,20,1,bread
4,3,26,8,4,12,1,bread
9,11,20,9,3,12,-1,gone
2,10,20,8,5,13,-1,gone
7,9,18,6,6,12,-1,gone
8,11,19,8,10,18,-1,gone
6,6,20,4,10,14,-1,gone
2,10,20,2,8,10,-1,gone
4,8,21,4,7,11,-1,gone
11,10,31,10,5,15,1,bread
6,9,25,10,8,18,1,bread
9,5,24,7,8,15,1,bread
11,8,19,10,10,20,1,bread
10,3,20,10,8,18,-1,gone
10,8,18,2,9,11,-1,gone
10,10,20,7,7,14,-1,gone
10,7,17,10,10,20,1,bread
10,3,18,10,10,20,1,bread
10,7,17,10,6,16,-1,gone
10,10,20,8,10,18,-1,gone
10,10,20,4,10,14,-1,gone
10,2,22,6,3,15,1,bread
8,10,18,4,11,15,-1,gone
8,10,18,10,10,20,1,bread
2,10,22,10,9,19,1,bread
4,7,17,10,7,17,0,fight
5,2,17,10,3,13,-1,gone
10,4,20,10,10,20,0,fight
10,10,20,11,10,21,1,bread
7,4,21,9,11,20,1,bread
2,10,25,10,5,15,1,bread
10,10,20,6,11,17,-1,gone
11,6,17,6,7,13,-1,gone
4,9,24,10,5,15,1,bread
10,3,19,10,2,12,-1,gone
4,5,17,7,5,12,-1,gone
4,9,17,8,10,18,1,bread
11,6,17,7,10,17,0,fight
9,10,19,10,7,17,-1,gone
11,11,32,8,8,16,1,bread
3,3,11,9,10,19,1,bread
4,10,19,10,4,14,-1,gone
9,7,24,6,10,16,1,bread
8,3,23,11,7,18,1,bread
8,6,24,8,7,15,1,bread
8,10,18,7,7,14,-1,gone
10,6,25,10,5,15,1,bread
10,7,17,4,11,15,-1,gone
6,7,23,4,9,13,1,bread
2,5,17,8,8,16,-1,gone
7,8,25,2,9,11,1,bread
6,10,26,6,10,16,1,bread
10,6,27,10,11,21,1,bread
8,8,26,9,2,11,1,bread
10,2,26,10,4,14,1,bread
11,10,24,10,10,20,1,bread
3,11,24,3,2,15,1,bread
10,8,18,7,10,17,-1,gone
10,7,17,11,6,17,0,fight
9,7,23,9,9,18,1,bread
11,10,27,11,4,15,1,bread
4,11,23,9,6,15,1,bread
10,10,20,9,5,14,-1,gone
3,5,19,7,10,17,-1,gone
9,11,20,4,10,14,-1,gone
10,2,21,8,10,18,-1,gone
2,9,25,10,3,13,1,bread
9,10,19,4,8,12,-1,gone
7,10,17,8,10,18,1,bread
2,6,21,9,5,14,1,bread
10,10,20,7,7,14,-1,gone
8,7,24,10,4,14,1,bread
9,10,19,10,4,14,-1,gone
5,10,22,6,2,16,1,bread
5,8,24,6,10,16,1,bread
3,8,19,4,3,18,-1,gone
2,6,18,4,4,17,-1,gone
3,10,19,8,7,15,-1,gone
9,10,19,7,7,14,-1,gone
7,3,26,4,10,14,1,bread
5,10,23,9,10,19,1,bread
10,10,20,3,10,13,-1,gone
4,10,17,9,6,15,-1,gone
6,9,25,6,10,16,1,bread
10,2,18,7,11,18,0,fight
7,7,25,10,6,16,1,bread
10,7,17,3,7,10,-1,gone
11,7,18,6,3,20,1,bread
9,8,17,6,5,11,-1,gone
2,11,23,9,10,19,1,bread
10,4,24,2,6,16,1,bread
10,8,18,2,11,13,-1,gone
10,10,20,11,6,17,-1,gone
10,10,20,10,2,12,-1,gone
2,10,23,4,10,14,1,bread
4,2,23,10,10,20,1,bread
10,10,20,8,10,18,-1,gone
8,10,18,7,3,10,-1,gone
8,7,22,8,10,18,1,bread
10,4,23,6,10,16,1,bread
10,6,21,4,10,14,1,bread
10,4,25,10,7,17,1,bread
3,3,16,3,7,10,1,bread
7,10,17,3,10,13,-1,gone
8,10,18,3,5,15,-1,gone
11,10,23,7,2,13,1,bread
9,8,17,11,10,21,1,bread
10,9,19,9,10,19,0,fight
6,5,22,11,3,14,1,bread
9,10,19,8,10,18,-1,gone
10,9,19,10,6,16,-1,gone
2,9,18,5,9,14,-1,gone
10,8,18,10,10,20,1,bread
10,2,23,10,5,15,1,bread
7,10,17,5,3,19,1,bread
5,3,21,10,11,21,0,fight
9,10,19,10,5,15,-1,gone
2,11,24,7,10,17,1,bread
10,4,26,10,7,17,1,bread
5,9,22,8,6,14,1,bread
5,11,27,10,6,16,1,bread
2,10,24,10,4,14,1,bread
10,10,20,10,11,21,1,bread
6,6,17,10,8,18,1,bread
11,2,24,11,10,21,1,bread
2,3,23,2,10,12,1,bread
8,5,23,10,10,20,1,bread
8,10,18,3,7,10,-1,gone
10,10,20,10,3,13,-1,gone
9,10,19,9,8,17,-1,gone
10,8,18,10,10,20,1,bread
4,8,19,6,9,15,-1,gone
11,10,26,11,10,21,1,bread
3,10,21,10,7,17,1,bread
9,10,19,10,10,20,1,bread
11,6,17,2,9,11,-1,gone
3,7,20,10,7,17,-1,gone
2,2,15,3,8,11,-1,gone
6,7,18,7,7,14,-1,gone
2,3,19,10,5,15,-1,gone
11,10,32,4,5,16,1,bread
10,10,20,8,7,15,-1,gone
5,10,25,3,8,11,1,bread
10,10,20,10,11,21,1,bread
2,9,21,10,2,12,1,bread
8,11,19,10,4,14,-1,gone
7,5,18,4,9,13,-1,gone
8,6,21,10,8,18,-1,gone
6,10,22,4,2,15,1,bread
9,10,19,7,10,17,-1,gone
8,10,18,3,3,16,-1,gone
5,10,24,4,10,14,1,bread
10,11,28,8,9,17,1,bread
2,10,23,6,10,16,1,bread
10,3,19,10,6,16,-1,gone
2,3,26,11,6,17,1,bread
10,11,29,4,10,14,1,bread
11,9,20,10,11,21,1,bread
7,8,24,7,7,14,1,bread
10,4,26,7,6,13,1,bread
6,9,26,10,7,17,1,bread
3,10,21,10,8,18,1,bread
6,10,26,8,10,18,1,bread
2,11,23,2,6,12,1,bread
10,10,20,6,2,18,-1,gone
10,4,26,8,9,17,1,bread
9,8,17,10,9,19,1,bread
10,9,19,5,3,18,-1,gone
7,3,20,4,6,10,-1,gone
8,5,24,9,10,19,1,bread
10,2,27,7,10,17,1,bread
2,5,14,11,4,15,1,bread
4,9,18,11,10,21,1,bread
5,10,26,9,5,14,1,bread
9,10,19,2,7,19,0,fight
10,11,31,3,10,13,1,bread
3,3,26,3,6,18,1,bread
6,7,23,3,6,19,1,bread
8,2,20,3,8,11,-1,gone
11,5,27,3,2,11,1,bread
5,9,24,9,10,19,1,bread
2,4,25,5,10,15,1,bread
6,5,20,3,2,18,-1,gone
7,6,20,4,10,14,-1,gone
2,10,23,11,10,21,1,bread
10,5,17,7,6,13,-1,gone
11,10,29,6,5,11,1,bread
7,10,17,8,7,15,-1,gone
10,10,20,10,10,20,0,fight
10,10,20,10,8,18,-1,gone
6,7,23,10,9,19,1,bread
8,10,18,3,6,15,-1,gone
9,10,19,10,10,20,1,bread
10,10,20,3,5,18,-1,gone
7,2,19,8,7,15,-1,gone
6,4,20,5,10,15,-1,gone
2,10,23,3,10,13,1,bread
5,4,22,6,11,17,1,bread
2,11,22,10,10,20,1,bread
10,5,20,6,8,14,-1,gone
11,3,25,10,2,12,1,bread
5,9,24,11,10,21,1,bread
11,8,19,4,7,11,-1,gone
10,2,21,9,2,11,-1,gone
11,8,19,5,10,15,-1,gone
10,10,20,9,11,20,0,fight
6,10,21,10,6,16,0,fight
10,2,21,3,11,14,0,fight
10,10,20,10,7,17,-1,gone
4,6,23,10,11,21,1,bread
10,11,23,4,7,11,1,bread
10,8,18,10,10,20,1,bread
5,6,18,10,10,20,1,bread
3,6,19,5,10,15,-1,gone
6,11,17,2,5,17,0,fight
2,10,20,10,4,14,-1,gone
3,7,25,11,3,14,1,bread
6,3,19,6,8,14,-1,gone
10,3,17,8,3,11,-1,gone
11,3,24,10,5,15,1,bread
4,8,25,7,10,17,1,bread
9,5,24,9,7,16,1,bread
3,10,19,10,11,21,1,bread
8,3,21,2,6,10,1,bread
11,6,17,9,10,19,1,bread
3,10,23,9,7,16,1,bread
7,6,17,10,10,20,1,bread
10,2,22,6,9,15,1,bread
8,11,19,9,11,20,1,bread
10,6,26,4,6,10,1,bread
8,8,26,6,10,16,1,bread
8,10,18,5,8,13,-1,gone
11,5,26,7,10,17,1,bread
5,7,24,10,9,19,1,bread
7,6,23,3,2,10,1,bread
10,5,22,2,6,18,1,bread
10,6,24,9,10,19,1,bread
9,10,19,8,9,17,-1,gone
4,7,23,4,10,14,1,bread
10,11,24,2,9,11,1,bread
4,8,23,7,10,17,1,bread
11,10,24,7,4,11,1,bread
11,6,17,10,4,14,-1,gone
8,8,22,11,7,18,1,bread
10,11,25,5,4,19,1,bread
2,8,27,10,10,20,1,bread
10,10,20,9,3,12,-1,gone
10,4,18,3,10,13,-1,gone
10,10,20,10,2,12,-1,gone
6,10,22,9,10,19,1,bread
2,6,18,7,2,16,-1,gone
10,10,20,4,10,14,-1,gone
5,10,25,4,9,13,1,bread
10,10,20,10,3,13,-1,gone
11,5,24,11,7,18,1,bread
10,10,20,8,10,18,-1,gone
10,10,20,10,5,15,-1,gone
