face_card,blind_card,total,удфча_нуль,удфча_один,добыча,еда
10,2,17,8,10,18,1,bread
10,8,18,6,9,15,-1,gone
10,11,31,6,10,16,1,bread
2,8,20,10,9,19,-1,gone
6,4,17,10,4,14,-1,gone
4,6,20,10,8,18,-1,gone
3,2,19,3,5,18,-1,gone
11,2,21,2,5,12,-1,gone
9,6,22,10,10,20,1,bread
6,11,17,10,9,19,1,bread
2,8,26,7,10,17,1,bread
10,9,19,10,10,20,1,bread
10,10,20,10,6,16,-1,gone
8,10,18,10,10,20,1,bread
5,6,22,10,11,21,1,bread
3,5,18,2,8,10,-1,gone
8,8,22,10,10,20,1,bread
4,8,21,10,4,14,1,bread
10,3,22,6,8,14,1,bread
7,8,23,2,7,16,1,bread
10,7,17,10,2,12,-1,gone
7,11,18,10,6,16,-1,gone
11,2,23,5,10,15,1,bread
10,11,28,9,10,19,1,bread
5,9,24,9,10,19,1,bread
8,9,17,10,7,17,0,fight
11,4,19,9,8,17,-1,gone
10,5,17,4,6,10,-1,gone
7,2,20,10,10,20,0,fight
10,6,20,10,5,15,-1,gone
11,3,24,4,10,14,1,bread
10,10,20,5,10,15,-1,gone
10,10,20,3,5,18,-1,gone
9,10,19,6,4,10,-1,gone
4,9,23,9,6,15,1,bread
3,2,13,10,10,20,1,bread
9,10,19,9,10,19,0,fight
3,10,23,10,10,20,1,bread
10,7,17,3,3,15,-1,gone
7,7,20,5,7,12,-1,gone
7,11,18,10,10,20,1,bread
11,10,26,11,10,21,1,bread
6,8,20,10,10,20,0,fight
11,5,25,11,10,21,1,bread
3,3,22,7,3,10,1,bread
8,8,19,2,10,12,-1,gone
7,10,17,11,7,18,1,bread
10,3,17,8,7,15,-1,gone
5,11,22,8,10,18,1,bread
10,8,18,3,4,12,-1,gone
9,10,19,6,10,16,-1,gone
6,11,17,2,10,12,-1,gone
10,10,20,10,7,17,-1,gone
7,10,17,3,7,10,-1,gone
10,10,20,10,10,20,0,fight
2,10,22,5,10,15,1,bread
4,10,18,10,7,17,-1,gone
8,9,17,3,7,10,-1,gone
10,10,20,6,2,17,-1,gone
3,10,17,10,8,18,1,bread
6,5,21,3,9,12,1,bread
5,3,17,6,10,16,-1,gone
3,8,22,11,5,16,1,bread
8,8,27,10,10,20,1,bread
8,3,22,10,8,18,1,bread
6,5,21,10,6,16,1,bread
10,10,20,3,5,14,-1,gone
8,10,18,5,8,13,-1,gone
2,11,23,10,10,20,1,bread
3,10,17,2,3,15,-1,gone
3,8,20,11,11,22,1,bread
10,10,20,10,10,20,0,fight
6,6,18,10,8,18,0,fight
11,5,27,3,5,10,1,bread
4,11,18,10,5,15,-1,gone
7,11,18,11,3,14,-1,gone
7,10,17,6,11,17,0,fight
11,5,21,6,9,15,0,fight
10,5,25,3,6,19,1,bread
2,8,20,6,10,16,-1,gone
5,10,17,6,5,11,-1,gone
10,8,18,3,5,19,1,bread
4,11,18,8,8,16,-1,gone
2,10,22,5,10,15,1,bread
7,10,17,2,10,12,-1,gone
3,10,17,5,6,11,-1,gone
2,4,20,10,8,18,-1,gone
11,5,24,4,10,14,1,bread
7,11,18,3,7,10,-1,gone
7,10,17,5,10,15,-1,gone
10,2,21,11,10,21,0,fight
6,2,19,2,2,16,-1,gone
10,9,19,11,10,21,1,bread
9,8,17,11,9,20,1,bread
8,5,17,2,5,14,-1,gone
4,3,23,7,5,12,1,bread
9,6,25,11,2,13,1,bread
10,3,19,9,11,20,1,bread
9,11,20,7,10,17,-1,gone
6,10,26,5,4,15,1,bread
5,11,26,10,9,19,1,bread
7,9,21,9,10,19,1,bread
5,3,18,8,5,13,-1,gone
10,4,21,10,10,20,-1,gone
8,10,18,10,4,14,-1,gone
4,4,22,10,6,16,1,bread
2,10,27,3,2,13,1,bread
10,10,20,9,4,13,-1,gone
10,10,20,10,10,20,0,fight
6,7,22,10,3,13,1,bread
11,11,32,3,10,13,1,bread
3,6,18,11,8,19,1,bread
10,4,27,9,9,18,1,bread
8,4,17,10,11,21,1,bread
3,4,17,2,10,12,-1,gone
3,10,23,3,11,14,1,bread
4,7,22,5,4,19,1,bread
10,10,20,10,11,21,1,bread
10,10,20,4,5,11,-1,gone
10,10,20,9,3,12,-1,gone
4,9,21,2,10,12,-1,gone
7,9,20,10,10,20,0,fight
4,2,23,7,9,16,1,bread
10,5,23,3,8,11,1,bread
5,10,26,6,6,12,1,bread
10,6,26,8,8,16,1,bread
6,11,17,10,10,20,1,bread
5,3,18,3,9,12,-1,gone
6,4,17,10,10,20,1,bread
3,11,19,10,10,20,1,bread
10,3,18,2,3,15,-1,gone
10,5,22,5,6,11,1,bread
8,10,18,7,4,11,-1,gone
10,4,17,5,10,15,-1,gone
4,10,17,4,10,14,-1,gone
4,8,18,8,9,17,-1,gone
9,10,19,7,11,18,-1,gone
10,10,20,6,11,17,-1,gone
5,7,18,8,5,13,-1,gone
10,10,20,10,10,20,0,fight
9,10,19,3,8,11,-1,gone
2,8,26,4,9,13,1,bread
5,10,24,6,11,17,1,bread
9,8,17,5,3,13,-1,gone
10,10,20,10,10,20,0,fight
6,4,24,10,8,18,1,bread
8,11,19,11,3,14,-1,gone
7,10,17,5,10,15,-1,gone
4,10,24,10,10,20,1,bread
8,10,18,5,11,16,-1,gone
8,2,19,2,6,18,-1,gone
4,10,22,4,10,14,1,bread
10,9,19,8,3,11,-1,gone
9,10,19,8,10,18,-1,gone
6,8,20,8,3,11,-1,gone
10,7,17,10,3,13,-1,gone
11,6,17,8,2,10,-1,gone
4,10,21,10,7,17,-1,gone
5,11,18,6,7,13,-1,gone
7,9,26,6,10,16,1,bread
6,9,24,2,10,12,1,bread
7,2,19,9,7,16,-1,gone
9,7,26,10,6,16,1,bread
8,4,22,5,7,12,1,bread
6,10,26,10,5,15,1,bread
2,10,23,10,7,17,1,bread
7,6,23,3,3,16,1,bread
4,10,26,11,10,21,1,bread
2,10,19,6,10,16,-1,gone
6,4,20,8,5,13,-1,gone
4,9,22,11,9,20,1,bread
10,6,18,6,2,11,-1,gone
7,2,15,8,11,19,1,bread
5,6,22,10,10,20,1,bread
2,3,25,9,3,12,1,bread
7,3,18,4,7,11,-1,gone
4,10,25,10,4,14,1,bread
2,9,17,9,2,11,-1,gone
8,10,18,6,10,16,-1,gone
4,5,14,10,7,17,1,bread
10,9,19,3,10,13,-1,gone
3,11,18,10,6,16,-1,gone
10,8,18,10,8,18,0,fight
10,7,17,6,9,15,-1,gone
3,7,23,5,9,14,1,bread
10,9,19,9,6,15,-1,gone
11,10,26,10,5,15,1,bread
11,4,17,8,8,16,-1,gone
10,5,25,5,10,15,1,bread
5,4,19,10,3,13,-1,gone
6,10,26,2,3,15,1,bread
4,9,17,3,10,13,-1,gone
10,9,19,6,11,17,-1,gone
11,7,18,4,4,12,-1,gone
7,7,17,4,5,13,-1,gone
11,9,20,10,6,16,-1,gone
10,10,20,2,9,11,-1,gone
3,2,21,11,10,21,0,fight
4,10,18,11,4,15,-1,gone
10,6,19,10,10,20,1,bread
3,7,18,2,6,14,-1,gone
3,10,23,10,3,13,1,bread
11,2,23,10,10,20,1,bread
2,9,27,6,10,16,1,bread
2,9,18,5,8,13,-1,gone
9,7,22,10,10,20,1,bread
10,4,21,2,8,10,1,bread
6,5,18,11,4,15,-1,gone
3,5,15,10,11,21,1,bread
6,11,17,4,6,10,-1,gone
10,9,19,6,10,16,-1,gone
2,5,17,7,7,14,-1,gone
5,5,17,11,5,16,-1,gone
10,11,27,3,3,11,1,bread
4,11,21,11,4,15,1,bread
9,10,19,4,10,14,-1,gone
9,3,23,9,9,18,1,bread
5,6,15,6,2,11,1,bread
3,2,25,10,5,15,1,bread
11,3,21,10,10,20,1,bread
10,10,20,3,10,13,-1,gone
11,3,23,10,2,12,1,bread
3,7,16,10,11,21,1,bread
7,5,18,8,4,12,-1,gone
5,2,18,10,10,20,1,bread
10,10,20,8,10,18,-1,gone
9,3,23,7,4,11,1,bread
9,6,25,6,5,11,1,bread
6,2,18,5,6,11,-1,gone
10,9,19,9,3,12,-1,gone
10,10,20,2,7,18,-1,gone
9,6,26,11,3,14,1,bread
6,5,24,4,9,13,1,bread
8,10,18,8,10,18,0,fight
7,10,17,4,5,19,1,bread
10,10,20,8,10,18,-1,gone
9,5,24,5,3,18,1,bread
7,10,17,9,6,15,-1,gone
8,10,18,10,6,16,-1,gone
6,2,25,6,10,16,1,bread
10,5,23,9,4,13,1,bread
5,4,19,10,5,15,-1,gone
7,8,25,2,9,11,1,bread
10,4,22,4,9,13,1,bread
5,8,23,10,9,19,1,bread
6,10,20,8,7,15,-1,gone
10,10,20,10,7,17,-1,gone
8,5,24,3,10,13,1,bread
10,9,19,7,4,11,-1,gone
4,2,23,8,9,17,1,bread
10,9,19,10,9,19,0,fight
2,10,18,6,7,13,-1,gone
7,8,25,11,10,21,1,bread
10,5,25,6,8,14,1,bread
10,9,19,10,10,20,1,bread
3,10,19,9,9,18,-1,gone
2,2,15,10,10,20,1,bread
10,3,23,2,10,12,1,bread
6,4,20,4,11,15,-1,gone
10,10,20,9,5,14,-1,gone
8,10,18,10,10,20,1,bread
2,8,21,6,11,17,1,bread
11,10,27,5,5,10,1,bread
3,8,21,10,6,16,1,bread
10,5,25,8,2,10,1,bread
10,4,24,11,10,21,1,bread
3,10,23,5,10,15,1,bread
11,4,26,2,3,15,1,bread
9,10,19,4,11,15,-1,gone
11,2,25,11,9,20,1,bread
3,11,23,10,10,20,1,bread
10,10,20,3,5,18,-1,gone
5,11,18,4,10,14,-1,gone
10,5,23,11,10,21,1,bread
5,10,24,7,5,12,1,bread
10,7,17,4,3,16,-1,gone
8,6,20,4,11,15,-1,gone
10,2,22,4,5,19,1,bread
7,10,17,5,3,18,1,bread
10,10,20,10,6,16,-1,gone
10,10,20,10,10,20,0,fight
11,5,26,9,3,12,1,bread
10,5,26,4,9,13,1,bread
4,2,18,8,9,17,-1,gone
10,8,18,10,5,15,-1,gone
2,10,23,5,9,14,1,bread
2,2,24,8,9,17,1,bread
3,10,17,5,3,18,1,bread
10,10,20,10,11,21,1,bread
5,2,16,2,9,11,1,bread
3,10,24,8,10,18,1,bread
11,3,21,4,10,14,1,bread
8,10,18,9,11,20,1,bread
10,10,20,10,5,15,-1,gone
10,10,20,5,5,10,-1,gone
8,10,18,5,7,12,-1,gone
2,9,20,10,9,19,-1,gone
11,4,23,9,5,14,1,bread
6,10,21,6,4,10,1,bread
2,6,18,2,10,12,-1,gone
4,5,19,10,10,20,1,bread
10,3,24,10,2,12,1,bread
4,4,26,5,5,10,1,bread
6,4,23,9,7,16,1,bread
3,10,24,6,4,10,1,bread
10,10,20,10,3,13,-1,gone
5,10,23,6,2,18,1,bread
10,4,21,10,5,15,1,bread
10,9,19,11,4,15,-1,gone
10,10,20,5,10,15,-1,gone
6,10,26,5,8,13,1,bread
4,11,25,7,10,17,1,bread
2,8,17,9,10,19,1,bread
10,2,17,3,3,16,-1,gone
2,4,19,10,6,16,-1,gone
4,9,19,6,10,16,-1,gone
8,11,19,2,7,15,-1,gone
11,9,20,7,6,13,-1,gone
5,2,21,9,4,13,-1,gone
11,10,23,10,3,13,1,bread
11,5,21,5,5,10,1,bread
4,2,17,11,3,14,-1,gone
5,10,21,3,11,14,-1,gone
10,10,20,7,10,17,-1,gone
2,2,24,3,3,14,1,bread
5,10,26,10,10,20,1,bread
5,9,23,2,3,15,1,bread
10,4,19,11,2,13,-1,gone
10,10,20,5,10,15,-1,gone
10,6,26,9,10,19,1,bread
6,10,20,2,10,12,-1,gone
5,6,17,10,10,20,1,bread
4,5,16,10,10,20,1,bread
3,8,18,10,7,17,-1,gone
10,4,20,8,11,19,-1,gone
5,4,18,10,6,16,-1,gone
7,11,18,4,3,11,-1,gone
7,6,23,10,10,20,1,bread
10,10,20,4,8,12,-1,gone
8,9,17,10,10,20,1,bread
8,5,23,5,2,10,1,bread
10,4,20,10,2,12,-1,gone
8,6,24,11,8,19,1,bread
11,4,21,3,2,16,1,bread
5,10,25,9,7,16,1,bread
3,4,24,5,10,15,1,bread
2,4,19,11,11,22,1,bread
5,10,18,5,3,13,-1,gone
7,10,17,10,10,20,1,bread
10,4,18,3,5,11,-1,gone
9,10,19,10,10,20,1,bread
11,6,17,10,8,18,1,bread
2,2,19,10,10,20,1,bread
10,10,20,6,5,11,-1,gone
10,2,22,7,2,15,1,bread
6,8,17,2,5,10,-1,gone
9,10,19,10,4,14,-1,gone
5,8,23,7,10,17,1,bread
10,3,17,8,10,18,1,bread
9,4,22,10,5,15,1,bread
10,10,20,10,7,17,-1,gone
5,10,17,2,4,17,0,fight
7,10,17,6,3,17,0,fight
6,10,19,2,8,10,-1,gone
11,6,17,9,5,14,-1,gone
5,10,18,4,4,18,0,fight
10,7,17,5,11,16,-1,gone
9,2,26,10,7,17,1,bread
10,9,19,7,10,17,-1,gone
4,5,25,6,8,14,1,bread
9,8,17,2,9,11,-1,gone
10,10,20,3,7,10,-1,gone
10,11,23,5,5,10,1,bread
4,8,22,8,3,11,1,bread
10,4,21,4,10,14,1,bread
10,10,20,8,2,10,-1,gone
6,11,17,5,10,15,-1,gone
6,10,26,10,3,13,1,bread
8,10,18,7,10,17,-1,gone
9,3,22,9,10,19,1,bread
5,3,18,9,7,16,-1,gone
11,11,31,6,9,15,1,bread
10,10,20,10,7,17,-1,gone
10,10,20,5,10,15,-1,gone
10,10,20,10,8,18,-1,gone
6,6,21,10,8,18,-1,gone
10,6,20,8,9,17,-1,gone
5,10,19,9,9,18,-1,gone
9,11,20,11,4,15,-1,gone
8,8,23,10,11,21,1,bread
10,10,20,10,7,17,-1,gone
5,3,20,2,10,12,-1,gone
4,8,17,8,3,11,-1,gone
4,6,20,10,10,20,0,fight
8,2,21,10,2,12,0,fight
6,10,26,10,10,20,1,bread
7,2,22,5,7,12,1,bread
2,10,17,3,9,12,-1,gone
11,3,17,11,11,22,1,bread
7,7,23,10,5,15,1,bread
11,8,19,5,10,15,-1,gone
8,10,18,4,4,13,-1,gone
11,3,18,5,10,15,-1,gone
3,8,24,4,11,15,1,bread
4,8,22,8,10,18,1,bread
9,4,26,10,2,12,1,bread
6,10,26,6,4,10,1,bread
6,10,27,11,11,22,1,bread
8,10,18,6,6,12,-1,gone
10,6,26,2,5,13,1,bread
2,3,19,3,6,12,-1,gone
11,10,24,6,10,16,1,bread
10,3,23,11,2,13,1,bread
6,7,17,10,6,16,-1,gone
9,10,19,10,3,13,-1,gone
5,8,23,2,10,12,1,bread
10,10,20,10,10,20,0,fight
3,10,23,3,5,18,1,bread
10,11,23,5,10,15,1,bread
11,2,23,10,11,21,1,bread
9,10,19,10,3,13,-1,gone
11,2,26,4,10,14,1,bread
11,10,31,10,5,15,1,bread
5,11,26,5,3,15,1,bread
10,10,20,10,2,12,-1,gone
11,11,33,7,10,17,1,bread
8,8,25,10,10,20,1,bread
10,10,20,10,10,20,0,fight
7,4,22,9,5,14,1,bread
10,10,20,7,4,11,-1,gone
7,6,23,10,8,18,1,bread
10,5,21,3,10,13,1,bread
3,5,19,5,6,11,-1,gone
6,4,17,8,9,17,0,fight
9,7,21,3,9,12,0,fight
10,10,20,2,10,12,-1,gone
4,10,27,8,6,14,1,bread
5,6,19,6,2,10,-1,gone
10,5,17,4,11,15,-1,gone
4,10,24,9,6,15,1,bread
10,11,31,10,10,20,1,bread
10,4,24,9,10,19,1,bread
7,2,18,4,10,14,-1,gone
7,2,23,3,8,11,1,bread
10,7,17,8,8,16,-1,gone
5,10,20,8,11,19,-1,gone
11,10,23,11,10,21,1,bread
10,9,19,8,11,19,0,fight
10,9,19,4,2,11,-1,gone
6,2,18,6,9,15,-1,gone
11,4,25,10,10,20,1,bread
10,5,26,8,10,18,1,bread
6,11,17,11,2,13,-1,gone
4,5,18,5,10,15,-1,gone
10,7,17,10,10,20,1,bread
9,11,20,2,3,14,-1,gone
7,9,26,4,4,17,1,bread
9,6,18,10,10,20,1,bread
10,10,20,10,2,12,-1,gone
10,3,24,4,3,10,1,bread
6,5,20,11,3,14,-1,gone
10,11,29,3,8,11,1,bread
10,9,19,7,8,15,-1,gone
5,9,24,11,11,22,1,bread
5,10,21,10,5,15,1,bread
6,5,17,5,3,14,-1,gone
6,10,20,10,6,16,-1,gone
6,4,19,10,11,21,1,bread
4,5,26,7,9,16,1,bread
7,10,17,2,3,11,-1,gone
10,10,20,8,3,11,-1,gone
2,10,22,3,9,12,1,bread
10,8,18,10,5,15,-1,gone
3,5,18,5,7,12,-1,gone
10,10,20,10,2,12,-1,gone
10,8,18,9,8,17,-1,gone
3,11,24,6,10,16,1,bread
8,10,18,7,8,15,-1,gone
9,10,19,9,11,20,1,bread
10,10,20,10,3,13,-1,gone
10,2,24,8,10,18,1,bread
4,10,19,6,2,12,-1,gone
9,11,20,9,2,11,-1,gone
4,7,22,7,10,17,1,bread
7,2,26,3,2,11,1,bread
10,2,18,7,8,15,-1,gone
10,9,19,10,6,16,-1,gone
6,10,22,7,3,10,1,bread
10,10,20,10,10,20,0,fight
5,8,26,6,9,15,1,bread
10,2,25,10,7,17,1,bread
10,3,23,9,4,13,1,bread
10,5,25,2,10,12,1,bread
7,2,17,5,7,12,-1,gone
10,8,18,2,10,12,-1,gone
8,2,27,10,5,15,1,bread
10,3,23,2,7,19,1,bread
10,5,26,10,10,20,1,bread
2,10,22,10,8,18,1,bread
5,10,21,3,10,13,1,bread
8,3,19,9,10,19,0,fight
10,10,20,10,7,17,-1,gone
11,6,17,9,7,16,-1,gone
2,2,19,7,4,11,-1,gone
10,2,24,8,6,14,1,bread
4,8,22,10,11,21,1,bread
10,10,20,11,4,15,-1,gone
8,4,22,3,3,16,1,bread
10,8,18,10,10,20,1,bread
